N,S_wide,S_narrow,rel_err_wide,rel_err_narrow
58600,0.94990853,0.94647263,0.00570804,0.00207031
59100,0.93788697,0.94593646,0.00701969,0.00150265
59600,0.93225235,0.94856634,0.01298530,0.00428700
60100,0.93829750,0.94714505,0.00658504,0.00278223
60600,0.94931221,0.94363585,0.00507669,0.00093310
61100,0.94841506,0.94445439,0.00412684,0.00006649
61600,0.93805714,0.94202182,0.00683952,0.00264195
62100,0.95276522,0.94647611,0.00873254,0.00207399
62600,0.94302875,0.94725235,0.00157587,0.00289583
63100,0.95860032,0.94555121,0.01491040,0.00109477
63600,0.93480252,0.94085917,0.01028533,0.00387290
64100,0.94332605,0.94277651,0.00126110,0.00184292
64600,0.95568050,0.94080000,0.01181906,0.00393554
65100,0.95777819,0.94561720,0.01403998,0.00116464
65600,0.95219512,0.94330498,0.00812895,0.00128342
66100,0.95475219,0.94406410,0.01083623,0.00047970
66600,0.95404204,0.94417144,0.01008437,0.00036606
67100,0.95334247,0.94642704,0.00934370,0.00202204
67600,0.93068876,0.94883484,0.01464074,0.00457128
68100,0.93919295,0.94398665,0.00563699,0.00056170
68600,0.96130612,0.94125714,0.01777515,0.00345154
69100,0.95005268,0.94573773,0.00586066,0.00129224
69600,0.96809195,0.94355752,0.02495960,0.00101604
70100,0.96060257,0.94606096,0.01703027,0.00163446
70600,0.95786062,0.94318087,0.01412726,0.00141481
71100,0.94406751,0.94095878,0.00047609,0.00376743
71600,0.94076425,0.94537260,0.00397340,0.00090567
72100,0.94190957,0.94634998,0.00276079,0.00194046
72600,0.94176970,0.94370274,0.00290888,0.00086228
73100,0.94415321,0.94491841,0.00038535,0.00042480
73600,0.95805217,0.94621983,0.01433006,0.00180266
74100,0.95020567,0.94228971,0.00602263,0.00235833
74600,0.93766005,0.94270010,0.00725993,0.00192383
75100,0.94300719,0.93966419,0.00159870,0.00513807
75600,0.94137566,0.94596030,0.00332606,0.00152788
76100,0.96869593,0.94660222,0.02559905,0.00220751
76600,0.95007415,0.94549991,0.00588339,0.00104045
77100,0.95852244,0.94275237,0.01482795,0.00186848
77600,0.95181856,0.94438862,0.00773027,0.00013612
78100,0.96145864,0.94513659,0.01793663,0.00065579
78600,0.94752570,0.94389610,0.00318524,0.00065757
79100,0.91020784,0.94359108,0.03632475,0.00098051
79600,0.95093065,0.94587433,0.00679021,0.00143687
80100,0.93093233,0.94706417,0.01438285,0.00269660
80600,0.94739057,0.94742996,0.00304217,0.00308387
81100,0.91781208,0.94570314,0.02827381,0.00125562
81600,0.96100392,0.94172235,0.01745520,0.00295901
82100,0.96637661,0.94535312,0.02314349,0.00088504
82600,0.94899758,0.94277424,0.00474358,0.00184533
83100,0.94254826,0.94298878,0.00208459,0.00161818
83600,0.93874833,0.94428111,0.00610773,0.00024994
84100,0.94108157,0.94387261,0.00363743,0.00068244
84600,0.94665532,0.94429927,0.00226373,0.00023071
85100,0.93964935,0.94501573,0.00515378,0.00052783
85600,0.94468785,0.94699873,0.00018069,0.00262731
86100,0.94693240,0.94350985,0.00255709,0.00106650
86600,0.94040092,0.94600011,0.00435806,0.00157003
87100,0.92512698,0.94694958,0.02052922,0.00257528
87600,0.95666849,0.94566868,0.01286510,0.00121913
88100,0.95309875,0.94665197,0.00908566,0.00226018
88600,0.94113228,0.94242817,0.00358374,0.00221173
89100,0.95492884,0.94507988,0.01102326,0.00059575
89600,0.92948571,0.94295600,0.01591445,0.00165289
90100,0.94933097,0.94354269,0.00509655,0.00103173
90600,0.95268168,0.94189379,0.00864409,0.00277750
91100,0.95610801,0.94702381,0.01227170,0.00265386
91600,0.95223057,0.94485352,0.00816648,0.00035609
92100,0.95751227,0.94436843,0.01375844,0.00015749
92600,0.94426955,0.94406469,0.00026219,0.00047908
93100,0.95173706,0.94357558,0.00764398,0.00099692
93600,0.93768205,0.94305149,0.00723664,0.00155180
94100,0.95011095,0.94677206,0.00592235,0.00238733
94600,0.94075941,0.94274923,0.00397852,0.00187181
95100,0.95314911,0.94433501,0.00913898,0.00019288
95600,0.95823264,0.94595669,0.01452112,0.00152406
96100,0.93832924,0.94544689,0.00655144,0.00098432
96600,0.95562733,0.94282574,0.01176278,0.00179081
97100,0.95165561,0.94608372,0.00755775,0.00165856
97600,0.95024262,0.94585102,0.00606176,0.00141218
98100,0.93767503,0.94348526,0.00724408,0.00109254
98600,0.94797890,0.94464208,0.00366507,0.00013223
99100,0.94639919,0.94673657,0.00199256,0.00234975
99600,0.93342329,0.94571181,0.01174557,0.00126480
